"","date","workplace","community"
"1",2020-01-27,0,0
"2",2020-02-03,0,0
"3",2020-02-10,0,0
"4",2020-02-17,0,0
"5",2020-02-24,0,0
"6",2020-03-02,-10.2,-5
"7",2020-03-09,-29.6,-12.1428571428571
"8",2020-03-16,-51.8,-29.4285714285714
"9",2020-03-23,-64.2,-39.8571428571429
"10",2020-03-30,-69.6,-40.5714285714286
"11",2020-04-06,-69.8,-39.9285714285714
"12",2020-04-13,-67.8,-38.8571428571429
"13",2020-04-20,-66.8,-39
"14",2020-04-27,-65.4,-36
"15",2020-05-04,-63.2,-33
"16",2020-05-11,-61.8,-34.3571428571429
"17",2020-05-18,-60.6,-32.4285714285714
"18",2020-05-25,-63,-33
"19",2020-06-01,-58,-30.2142857142857
"20",2020-06-08,-57,-27.9285714285714
"21",2020-06-15,-56.4,-24.0714285714286
"22",2020-06-22,-56.6,-23.4285714285714
"23",2020-06-29,-58.8,-23.0714285714286
"24",2020-07-06,-56.6,-22
"25",2020-07-13,-56.2,-20.6428571428571
"26",2020-07-20,-56.2,-20.5714285714286
"27",2020-07-27,-56.4,-20
"28",2020-08-03,-56.6,-20.3571428571429
"29",2020-08-10,-56.8,-20.2857142857143
"30",2020-08-17,-56.6,-20.2857142857143
"31",2020-08-24,-56.2,-19.1428571428571
"32",2020-08-31,-56.6,NA
