indexHome,ageyrs,male,indexSchool,indexBus,indexNH,indexGQ
59,18,TRUE,-1,-1,-1,-1
94,18,FALSE,-1,421,-1,-1
109,18,TRUE,-1,-1,-1,-1
224,18,TRUE,-1,-1,-1,-1
248,18,FALSE,-1,106,-1,-1
277,18,TRUE,-1,-1,-1,-1
344,18,TRUE,-1,55,-1,-1
358,18,TRUE,-1,-1,-1,-1
382,18,FALSE,-1,524,-1,-1
397,18,FALSE,-1,-1,-1,-1
467,18,FALSE,-1,-1,-1,-1
469,18,TRUE,-1,-1,-1,-1
519,18,TRUE,-1,-1,-1,-1
524,18,FALSE,-1,-1,-1,-1
530,18,TRUE,-1,-1,-1,-1
534,18,FALSE,-1,-1,-1,-1
536,18,FALSE,-1,-1,-1,-1
563,18,TRUE,-1,-1,-1,-1
618,18,TRUE,-1,-1,-1,-1
672,18,TRUE,-1,492,-1,-1
794,18,FALSE,-1,-1,-1,-1
816,18,FALSE,-1,-1,-1,-1
902,18,FALSE,-1,413,-1,-1
908,18,TRUE,-1,-1,-1,-1
931,18,TRUE,-1,-1,-1,-1
1046,18,TRUE,-1,214,-1,-1
1085,18,TRUE,-1,-1,-1,-1
1118,18,TRUE,-1,112,-1,-1
1198,18,TRUE,-1,-1,-1,-1
1201,18,TRUE,-1,-1,-1,-1
1292,18,TRUE,-1,292,-1,-1
1303,18,FALSE,-1,-1,-1,-1
1317,18,TRUE,-1,-1,-1,-1
1347,18,TRUE,-1,-1,-1,-1
1363,18,TRUE,-1,-1,-1,-1
1446,18,TRUE,-1,-1,-1,-1
1475,18,FALSE,-1,-1,-1,-1
1476,18,FALSE,-1,-1,-1,-1
1528,18,TRUE,-1,-1,-1,-1
1550,18,FALSE,-1,537,-1,-1
1618,18,TRUE,-1,79,-1,-1
1676,18,TRUE,-1,376,-1,-1
1803,18,FALSE,-1,-1,-1,-1
1874,18,TRUE,-1,179,-1,-1
1927,18,FALSE,-1,-1,-1,-1
1994,18,TRUE,-1,-1,-1,-1
2087,18,TRUE,-1,-1,-1,-1
2164,18,FALSE,-1,-1,-1,-1
2175,18,TRUE,-1,-1,-1,-1
2186,18,TRUE,-1,135,-1,-1
2190,18,FALSE,-1,344,-1,-1
2197,18,FALSE,-1,186,-1,-1
2243,18,TRUE,-1,-1,-1,-1
2253,18,FALSE,-1,410,-1,-1
2285,18,TRUE,-1,16,-1,-1
2313,18,TRUE,-1,-1,-1,-1
2323,18,FALSE,-1,-1,-1,-1
2367,18,FALSE,-1,-1,-1,-1
2369,18,FALSE,-1,-1,-1,-1
2480,18,FALSE,-1,279,-1,-1
2523,18,FALSE,-1,395,-1,-1
2590,18,TRUE,-1,537,-1,-1
2606,18,TRUE,-1,172,-1,-1
2673,18,FALSE,-1,163,-1,-1
2705,18,TRUE,-1,-1,-1,-1
2725,18,TRUE,-1,-1,-1,-1
2806,18,TRUE,-1,-1,-1,-1
2868,18,FALSE,-1,-1,-1,-1
2881,18,TRUE,-1,-1,-1,-1
3004,18,TRUE,-1,-1,-1,-1
3092,18,FALSE,-1,-1,-1,-1
3142,18,TRUE,-1,43,-1,-1
3172,18,FALSE,-1,-1,-1,-1
3244,18,TRUE,-1,333,-1,-1
3248,18,TRUE,-1,-1,-1,-1
3315,18,TRUE,-1,-1,-1,-1
3326,18,FALSE,-1,-1,-1,-1
3349,18,FALSE,-1,86,-1,-1
3356,18,TRUE,-1,-1,-1,-1
3401,18,FALSE,-1,482,-1,-1
3485,18,TRUE,-1,-1,-1,-1
3504,18,TRUE,-1,-1,-1,-1
3504,18,FALSE,-1,43,-1,-1
3525,18,FALSE,-1,-1,-1,-1
3553,18,FALSE,-1,-1,-1,-1
3645,18,FALSE,-1,-1,-1,-1
3651,18,TRUE,-1,-1,-1,-1
3655,18,TRUE,-1,-1,-1,-1
3674,18,TRUE,-1,-1,-1,-1
3757,18,TRUE,-1,-1,-1,-1
3775,18,TRUE,-1,-1,-1,-1
3780,18,FALSE,-1,-1,-1,-1
3838,18,FALSE,-1,-1,-1,-1
3857,18,TRUE,-1,-1,-1,-1
3884,18,TRUE,-1,-1,-1,-1
3893,18,TRUE,-1,-1,-1,-1
3971,18,FALSE,-1,233,-1,-1
3988,18,FALSE,-1,-1,-1,-1
4107,18,FALSE,-1,-1,-1,-1
4130,18,FALSE,-1,-1,-1,-1
4151,18,TRUE,-1,-1,-1,-1
4178,18,FALSE,-1,-1,-1,-1
4215,18,TRUE,-1,-1,-1,-1
4259,18,FALSE,-1,542,-1,-1
4344,18,TRUE,-1,-1,-1,-1
4376,18,TRUE,-1,-1,-1,-1
4381,18,FALSE,-1,-1,-1,-1
4413,18,FALSE,-1,-1,-1,-1
4432,18,TRUE,-1,-1,-1,-1
4490,18,TRUE,-1,-1,-1,-1
4519,18,FALSE,7,-1,-1,-1
4531,18,TRUE,-1,-1,-1,-1
4570,18,FALSE,42,-1,-1,-1
4579,18,TRUE,-1,43,-1,-1
4653,18,FALSE,-1,-1,-1,-1
4671,18,FALSE,-1,-1,-1,-1
4692,18,TRUE,-1,-1,-1,-1
4701,18,FALSE,-1,163,-1,-1
4726,18,TRUE,-1,-1,-1,-1
4764,18,TRUE,-1,335,-1,-1
4782,18,TRUE,-1,397,-1,-1
4785,18,FALSE,-1,-1,-1,-1
4936,18,FALSE,-1,-1,-1,-1
5007,18,FALSE,-1,-1,-1,-1
5069,18,TRUE,-1,-1,-1,-1
5134,18,TRUE,-1,-1,-1,-1
5137,18,FALSE,-1,-1,-1,-1
5173,18,FALSE,-1,-1,-1,-1
5198,18,TRUE,-1,292,-1,-1
5249,18,FALSE,-1,452,-1,-1
5264,18,FALSE,-1,-1,-1,-1
5273,18,TRUE,-1,-1,-1,-1
5288,18,TRUE,-1,-1,-1,-1
