indexGQ,ageyrs,male
0,18,TRUE
6,18,FALSE
8,18,TRUE
11,18,TRUE
16,18,TRUE
18,18,FALSE
25,18,TRUE
29,18,TRUE
1,19,TRUE
2,19,TRUE
2,19,TRUE
3,19,TRUE
6,19,FALSE
7,19,FALSE
7,19,TRUE
20,19,FALSE
20,19,FALSE
20,19,TRUE
21,19,TRUE
23,19,TRUE
27,19,TRUE
30,19,TRUE
31,19,TRUE
33,19,TRUE
4,20,TRUE
9,20,TRUE
10,20,TRUE
12,20,TRUE
13,20,TRUE
15,20,TRUE
17,20,TRUE
19,20,TRUE
23,20,TRUE
27,20,FALSE
27,20,TRUE
27,20,TRUE
29,20,TRUE
29,20,TRUE
30,20,TRUE
0,21,TRUE
0,21,TRUE
4,21,TRUE
5,21,TRUE
6,21,TRUE
7,21,FALSE
8,21,TRUE
14,21,TRUE
17,21,TRUE
18,21,TRUE
19,21,TRUE
19,21,TRUE
20,21,FALSE
20,21,TRUE
22,21,TRUE
25,21,TRUE
27,21,TRUE
0,22,TRUE
3,22,TRUE
4,22,TRUE
5,22,TRUE
15,22,TRUE
16,22,TRUE
17,22,TRUE
20,22,TRUE
22,22,TRUE
23,22,TRUE
26,22,TRUE
26,22,TRUE
27,22,FALSE
31,22,TRUE
32,22,TRUE
2,23,TRUE
2,23,TRUE
3,23,TRUE
4,23,TRUE
5,23,TRUE
6,23,TRUE
14,23,TRUE
16,23,TRUE
18,23,FALSE
18,23,TRUE
18,23,TRUE
30,23,TRUE
30,23,TRUE
32,23,TRUE
33,23,TRUE
0,24,TRUE
7,24,FALSE
9,24,TRUE
10,24,TRUE
11,24,TRUE
12,24,TRUE
16,24,TRUE
21,24,TRUE
22,24,TRUE
24,24,TRUE
26,24,TRUE
27,24,TRUE
32,24,FALSE
33,24,TRUE
0,25,TRUE
1,25,TRUE
5,25,TRUE
11,25,TRUE
12,25,TRUE
15,25,TRUE
16,25,TRUE
20,25,FALSE
22,25,TRUE
30,25,TRUE
30,25,TRUE
32,25,FALSE
0,26,TRUE
3,26,TRUE
6,26,FALSE
6,26,TRUE
7,26,TRUE
12,26,TRUE
16,26,TRUE
18,26,FALSE
18,26,FALSE
20,26,TRUE
24,26,TRUE
26,26,TRUE
28,26,TRUE
29,26,TRUE
31,26,TRUE
32,26,FALSE
32,26,FALSE
0,27,TRUE
0,27,TRUE
1,27,TRUE
2,27,TRUE
6,27,FALSE
6,27,TRUE
6,27,TRUE
7,27,FALSE
8,27,TRUE
10,27,TRUE
11,27,TRUE
13,27,TRUE
14,27,TRUE
15,27,TRUE
18,27,FALSE
19,27,TRUE
19,27,TRUE
20,27,FALSE
20,27,FALSE
21,27,TRUE
22,27,TRUE
23,27,TRUE
23,27,TRUE
23,27,TRUE
26,27,TRUE
27,27,TRUE
32,27,FALSE
32,27,TRUE
32,27,TRUE
2,28,TRUE
3,28,TRUE
4,28,TRUE
5,28,TRUE
8,28,TRUE
9,28,TRUE
9,28,TRUE
12,28,TRUE
12,28,TRUE
15,28,TRUE
17,28,TRUE
17,28,TRUE
18,28,FALSE
18,28,TRUE
18,28,TRUE
27,28,TRUE
28,28,TRUE
28,28,TRUE
31,28,TRUE
33,28,TRUE
0,29,TRUE
3,29,TRUE
4,29,TRUE
6,29,FALSE
