indexNH,ageyrs,male
0,65,FALSE
3,65,FALSE
4,65,FALSE
5,65,FALSE
0,66,FALSE
0,66,FALSE
0,66,TRUE
1,66,TRUE
3,67,TRUE
4,67,TRUE
4,67,FALSE
5,67,FALSE
0,68,FALSE
2,68,TRUE
2,68,TRUE
4,68,FALSE
5,68,FALSE
5,68,FALSE
5,68,TRUE
5,68,TRUE
0,69,FALSE
1,69,FALSE
2,69,TRUE
5,69,FALSE
1,70,FALSE
3,70,FALSE
3,70,TRUE
4,70,TRUE
0,71,FALSE
2,71,FALSE
2,71,FALSE
3,71,FALSE
1,72,TRUE
2,72,FALSE
5,72,FALSE
0,73,FALSE
3,73,TRUE
5,73,TRUE
5,73,TRUE
0,74,FALSE
1,74,TRUE
5,74,FALSE
5,74,TRUE
0,75,FALSE
1,75,TRUE
2,75,TRUE
3,75,FALSE
4,75,TRUE
4,75,TRUE
2,76,FALSE
2,76,FALSE
0,77,FALSE
2,77,FALSE
2,78,TRUE
3,78,FALSE
5,78,TRUE
1,79,TRUE
2,79,TRUE
4,79,FALSE
0,81,FALSE
4,81,TRUE
5,81,FALSE
4,82,TRUE
0,83,TRUE
0,84,FALSE
2,84,TRUE
4,84,FALSE
0,85,TRUE
1,85,TRUE
3,85,FALSE
3,85,TRUE
3,85,FALSE
5,85,TRUE
2,87,FALSE
3,87,FALSE
3,88,TRUE
3,88,TRUE
3,88,TRUE
4,88,FALSE
4,88,FALSE
0,89,FALSE
4,89,FALSE
1,90,FALSE
2,90,TRUE
0,91,TRUE
1,91,FALSE
3,91,TRUE
5,91,TRUE
0,92,FALSE
2,92,TRUE
3,92,TRUE
4,92,FALSE
0,93,FALSE
1,93,FALSE
1,93,TRUE
2,93,TRUE
5,93,FALSE
1,94,FALSE
1,94,FALSE
1,94,FALSE
5,94,FALSE
2,95,TRUE
3,95,FALSE
3,95,TRUE
4,95,FALSE
1,96,FALSE
2,96,TRUE
4,96,FALSE
4,96,FALSE
3,97,FALSE
5,97,FALSE
1,98,FALSE
1,98,FALSE
1,98,TRUE
2,98,FALSE
4,98,TRUE
0,99,FALSE
1,99,TRUE
4,99,TRUE
5,99,FALSE
